exp,acc_eval,c_prim_eval,acc_test,c_prim_test
mfcc,0.9413,0.0773,0.9426,0.0660
mfcc_pitch,0.0405,0.9614,0.0362,0.9615
mfcc_energy,0.0405,0.9614,0.0362,0.9615
mfcc_pitch_energy,0.0405,0.9614,0.0362,0.9615
mfcc_deltas,0.9442,0.0736,0.9522,0.0567
mfcc_deltas_pitch,0.9428,0.0764,0.9502,0.0577
mfcc_deltas_energy,0.9475,0.0677,0.9571,0.0523
mfcc_deltas_pitch_energy,0.9457,0.0719,0.9560,0.0544
sdc,0.9481,0.0670,0.9526,0.0543
sdc_pitch,0.9464,0.0700,0.9517,0.0559
sdc_energy,0.9475,0.0666,0.9668,0.0401
sdc_pitch_energy,0.9439,0.0697,0.9603,0.0484
pitch,0.6998,0.3781,0.7324,0.3269
energy,0.7214,0.3551,0.7484,0.3067
pitch_energy,0.8612,0.1741,0.8717,0.1535
