mfcc_deltas+energy,0.9449,0.0740,0.9598,0.0508
mfcc_deltas+energy-3s,,,0.9598,0.0508
mfcc_deltas+pitch,0.9491,0.0657,0.9610,0.0467
mfcc_deltas+pitch-3s,,,0.9610,0.0467
mfcc_deltas+pitch_energy,0.9618,0.0503,0.9713,0.0343
mfcc_deltas+pitch+energy,0.9472,0.0706,0.9594,0.0511
mfcc_deltas+pitch_energy-3s,,,0.9713,0.0343
mfcc_deltas+pitch+energy-3s,,,0.9594,0.0511
mfcc+energy,0.9442,0.0732,0.9556,0.0556
mfcc+energy-3s,,,0.9556,0.0556
mfcc+pitch,0.9496,0.0655,0.9503,0.0624
mfcc+pitch-3s,,,0.9503,0.0624
mfcc+pitch_energy,0.9613,0.0501,0.9682,0.0382
mfcc+pitch+energy,0.9503,0.0644,0.9582,0.0501
mfcc+pitch_energy-3s,,,0.9682,0.0382
mfcc+pitch+energy-3s,,,0.9582,0.0501
pitch+energy,0.8119,0.2390,0.8506,0.1801
pitch+energy-3s,,,0.8506,0.1801
sdc+energy,0.9333,0.0858,0.9467,0.0674
sdc+energy-3s,,,0.9467,0.0674
sdc+pitch,0.9431,0.0703,0.9493,0.0622
sdc+pitch-3s,,,0.9493,0.0622
sdc+pitch_energy,0.9606,0.0482,0.9684,0.0376
sdc+pitch+energy,0.9420,0.0696,0.9538,0.0545
sdc+pitch_energy-3s,,,0.9684,0.0376
sdc+pitch+energy-3s,,,0.9538,0.0545
